1	1	update	clergy	2	Joseph S. Selway	{"rank": "Bishop", "organization": "Roman Catholic Institute", "date_of_birth": null, "date_of_ordination": null, "date_of_consecration": null, "date_of_death": null, "ordaining_bishop_id": null, "consecrator_id": 1, "co_consecrators": []}	10.204.184.207	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-19 20:14:10.740637
2	1	generate_invite	admin_invite	1	User invite for 94740d2b...	{"token": "94740d2b-0a39-4791-b19f-122d75175fcb", "expires_at": "2025-07-20T21:57:14.680310", "invited_by": 1, "role_id": "6", "role_name": "Admin", "expires_in_hours": 24, "max_uses": 1}	10.204.153.71	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-19 21:57:14.695954
3	1	logout	user	1	admin	\N	10.204.87.179	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-19 22:02:28.882102
4	1	login	user	1	admin	{"login_method": "password"}	10.204.184.207	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-19 22:02:35.029754
5	1	create	rank	2	Priest	{"name": "Priest", "description": "", "color": "#000000"}	10.204.118.37	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-20 03:12:24.808949
6	1	create	organization	2	Independent	{"name": "Independent", "abbreviation": "IND", "description": "", "color": "#919191"}	10.204.53.76	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-20 03:12:51.491652
7	1	update	organization	1	Roman Catholic Institute	{"old_name": "Roman Catholic Institute", "new_name": "Roman Catholic Institute", "abbreviation": "RCI", "description": "", "color": "#b12525"}	10.204.9.242	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-20 03:13:01.833636
8	1	update	clergy	3	Germán Fliess	{"rank": "Bishop", "organization": "Roman Catholic Institute", "date_of_birth": null, "date_of_ordination": null, "date_of_consecration": null, "date_of_death": null, "ordaining_bishop_id": 1, "consecrator_id": 1, "co_consecrators": []}	10.204.184.207	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-20 03:13:58.074953
9	1	update	clergy	7	Philip A. Eldracher	{"rank": "Priest", "organization": "Roman Catholic Institute", "date_of_birth": null, "date_of_ordination": null, "date_of_consecration": null, "date_of_death": null, "ordaining_bishop_id": 1, "consecrator_id": null, "co_consecrators": []}	10.204.53.76	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-20 03:14:27.26235
10	1	update	clergy	13	Gregory Barnes	{"rank": "Priest", "organization": "Roman Catholic Institute", "date_of_birth": null, "date_of_ordination": null, "date_of_consecration": null, "date_of_death": null, "ordaining_bishop_id": 1, "consecrator_id": null, "co_consecrators": []}	10.204.87.179	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	2025-07-20 03:14:35.466839
